meeting_id,meeting_date,meeting_title,motion,result,yes_count,no_count
1243,2025-11-18,11/18/25 Council Meeting,To approve all of the changes except for the street light recommendation to increase the amount of concrete in the foundation.,Not explicitly mentioned in the segment,0,0
1243,2025-11-18,11/18/25 Council Meeting,Approval of the recommendations for the parklet analysis,passed,6,0
1243,2025-11-18,11/18/25 Council Meeting,"Approval and confirmation of Eric Gustafson as the assistant city manager with an annual salary of $187,000",passed,6,0
1243,2025-11-18,11/18/25 Council Meeting,Unknown (no specific motion described),passed,7,0
1241,2025-10-27,10/27/25 Bidwell Park & Playground Commission,Approval of the consent agenda including amendments from the last meeting in August and application for a reservation permit for picnic site number 12.,passed,6,0
1241,2025-10-27,10/27/25 Bidwell Park & Playground Commission,Request to place interpretive plaques on pillars at the one mile entrance.,Not specified in the segment,0,0
1240,2025-10-21,10/21/25 Council Meeting,Approve all matters listed on the consent agenda,passed,7,0
1240,2025-10-21,10/21/25 Council Meeting,Approval of the adoption of the resolution to create the maintenance district A 55 for the Autumn Leaf Estates subdivision.,passed,7,0
1240,2025-10-21,10/21/25 Council Meeting,"To approve the ordinance for the City Council of City Chico for Title 10 (vehicles and traffic), Title 14 (streets and sidewalks), and Title 16 (building construction) of the Chico Municipal Code, and two resolutions, with the exception of the four items related to rainfall intensity, minimum pavement structural sections, street light standards, and traffic impact analysis threshold requirement.",Not explicitly mentioned in the text,0,0
1240,2025-10-21,10/21/25 Council Meeting,Approve the Butte County tax sharing agreement as information.,passed,6,1
1240,2025-10-21,10/21/25 Council Meeting,Have a conversation about options for trying to decrease the unfunded pension liability going forward.,passed,6,1
1240,2025-10-21,10/21/25 Council Meeting,Council adopt the change formalizing the development impact fee decrease when the index decreases.,not yet determined,0,0
1237,2025-10-07,10/7/25 Council Meeting,Approve the consent agenda,passed,7,0
1237,2025-10-07,10/7/25 Council Meeting,"To keep the South Park Drive driveway access as is, rather than making it bidirectional.",passed,7,0
1237,2025-10-07,10/7/25 Council Meeting,"Confirm the appointment of Bill Hack as the interim fire chief with an annual salary of $184,518.58",passed,4,0
1236,2025-09-16,9/16/25 City Council,Authorizing the city attorney's office to file a lawsuit seeking monetary damages,passed,7,0
1236,2025-09-16,9/16/25 City Council,Approve all matters in the consent agenda,passed,7,0
1236,2025-09-16,9/16/25 City Council,Unspecified motion (context not provided),Failed,0,0
1236,2025-09-16,9/16/25 City Council,"Approval of the amendment to the federal titles 10, 14, 16, 16r, and 18r of the Chico Municipal Code.",Passed,2,1
1236,2025-09-16,9/16/25 City Council,Approval of the internal affairs committee report and action.,Passed,6,0
1236,2025-09-16,9/16/25 City Council,"That internal affairs consider the four items brought forth by the building community and come back with specific recommendations on what should be done, while approving everything else that needs to be approved beyond those four items.",Not specified in the segment,0,0
1236,2025-09-16,9/16/25 City Council,massage ordinance waivers and report from council member O'Brien,passed,7,0
1236,2025-09-16,9/16/25 City Council,"Council direct staff to consider adding traffic calming measures, crosswalks, curb and gutter, and lowering the speed limit as the budget allows when the 2027 road rehabilitation project on Floral Avenue is constructed.",Passed,3,0
1236,2025-09-16,9/16/25 City Council,To discuss the possibility of setting up a scooter and bike share program in town.,passed,7,0
1235,2025-09-02,9/2/25 City Council and Special Closed Session,To bring in the law firm of Civica Law Group to provide city prosecutor services and code enforcement legal services.,passed,7,0
1235,2025-09-02,9/2/25 City Council and Special Closed Session,Approval of all matters listed under the consent agenda as routine in nature,passed,4,0
1235,2025-09-02,9/2/25 City Council and Special Closed Session,"Not explicitly stated in the provided segment, but it seems to be related to a previous agenda item that was voted on before the public comment section.",passed,7,0
1235,2025-09-02,9/2/25 City Council and Special Closed Session,"Nominate the mayor to attend the League of California Cities annual conference on behalf of the city, with Bryce as the alternate council member.",passed,5,0
1235,2025-09-02,9/2/25 City Council and Special Closed Session,Approval to form an ad hoc committee on wayfinding signs for downtown.,passed,7,0
1235,2025-09-02,9/2/25 City Council and Special Closed Session,Appointment of a new member to the Climate Action Commission for a term with three remaining years.,Not explicitly mentioned in the segment,0,0
1235,2025-09-02,9/2/25 City Council and Special Closed Session,"To agenda a discussion on the alternate site and the Warren settlement, and to waive the 30-day rule to bring it back in two weeks.",passed,7,0
1235,2025-09-02,9/2/25 City Council and Special Closed Session,To agenda a discussion to direct staff to begin looking at the legalities and what would be necessary for having tiny homes on church parking lots.,passed,0,0
1234,2025-08-25,8/25/25 Bidwell Park & Playground Commission,Approval of the minutes,passed,3,0
1234,2025-08-25,8/25/25 Bidwell Park & Playground Commission,Approval of the application which will be through the August meeting of 2028.,passed,6,0
1233,2025-08-19,8/19/25 City Council,"Appeal of the lease approval for Mr. Speltz at the June 17, 2025 council meeting",Not explicitly mentioned,0,0
1233,2025-08-19,8/19/25 City Council,Council supporting Butte County's efforts to implement an expedited sediment removal and flood protection project at the five-mile basin.,passed,7,0
1233,2025-08-19,8/19/25 City Council,"To approve the proposed issuance of revenue bonds by the California Municipal Finance Authority in the amount not to exceed $30 million, under the Tax and Equity Fiscal Responsibility Act (TEFRA).",passed,7,0
1233,2025-08-19,8/19/25 City Council,"Reconsideration of a former action on South Park Drive, specifically to consider option 4 (leave the current setup alone and repave it) instead of option 2 (separating bikes and pedestrians from cars).",Not explicitly stated in the segment,0,0
1233,2025-08-19,8/19/25 City Council,agendize a discussion surrounding options for people with disabilities,failed,3,4
1232,2025-07-28,7/28/25 Bidwell Park & Playground Commission,approval of the draft minutes from the meeting of 5-19-25,passed,4,0
1232,2025-07-28,7/28/25 Bidwell Park & Playground Commission,approval of the draft minutes from the meeting of 5-19-25,passed,4,0
1230,2025-07-08,7/8/25 City Council,Approve all matters on the consent agenda except for item 2.3,passed,5,0
1230,2025-07-08,7/8/25 City Council,Adopt the resolution to uphold Mr. Speltz' recommendation with Aero Flight.,Not explicitly mentioned in the segment.,0,0
1230,2025-07-08,7/8/25 City Council,"Adopt the resolution ordering the abandonment of the right-of-way on 1st, 2nd, and 3rd streets to accommodate the future construction of the Chico State Forensics Building.",passed,5,0
1230,2025-07-08,7/8/25 City Council,To create the Chico Maintenance District or CMDA54 for the Habitat for Humanity Subdivision,passed,6,0
1230,2025-07-08,7/8/25 City Council,resolution to rescind the previously approved 5% increase for the downtown Chico property based improvement district (P-BID),passed,6,0
1230,2025-07-08,7/8/25 City Council,Approval and action on the 5.2 Internal Affairs Committee report regarding downtown parking improvements,Not explicitly mentioned,0,0
1230,2025-07-08,7/8/25 City Council,to take the specific annual adjustments to the storm drainage facility fee and transportation facility fees back to the finance committee for further review,passed,6,0
1230,2025-07-08,7/8/25 City Council,To reconsider the approval of option 2 for the design of South Park Drive (item 5.1) at the next meeting.,passed,6,0
1229,2025-06-17,6/17/25 City Council,"to approve the consent agenda as read, with a no vote registered by council member Goldstein and Winslow on item 2.1 which was the budget",passed,6,2
1229,2025-06-17,6/17/25 City Council,"Approving the amended fees with a 3% inflator for transportation facility fees and storm drainage facility fees, instead of the originally proposed 23.4% increase.",Not explicitly mentioned in the segment,0,0
1229,2025-06-17,6/17/25 City Council,Approval of South Park Drive conceptual design options,passed,6,1
1229,2025-06-17,6/17/25 City Council,To approve the grant proposal submittal for the fiscal year 2025 COPS School Violence Prevention Program grant.,passed,7,0
1229,2025-06-17,6/17/25 City Council,To create a committee for a wayfinding sign project for downtown and to agendize a discussion with the committee.,passed,7,0
1225,2025-06-03,6/3/25 City Council Minutes,to select Cole Huber attorneys to represent the City of Chico and the Warren v. City of Chico case,passed,4,3
1225,2025-06-03,6/3/25 City Council Minutes,to approve the consent agenda as read,passed,6,0
1225,2025-06-03,6/3/25 City Council Minutes,"Approval of the annual engineer's report and levy the assessment for the landscape and lighting district on the Housa Ranch Nob Hill neighborhood for the playground, with an annual levy of $86.07 per parcel.",passed,6,0
1225,2025-06-03,6/3/25 City Council Minutes,To approve the 2025 consolidated plan on the 2025-2026 annual action plan,passed,7,0
1225,2025-06-03,6/3/25 City Council Minutes,Confirmation of Deputy Director Human Resources Risk Management for Ms. Tiana Gray,passed,7,0
1225,2025-06-03,6/3/25 City Council Minutes,Taking a short break before discussing the growth and community development ad hoc committee report,passed,7,0
1225,2025-06-03,6/3/25 City Council Minutes,Unspecified motion (as the specific motion is not clearly stated in the provided segment),passed,7,0
1225,2025-06-03,6/3/25 City Council Minutes,Unspecified motion (context not provided in the segment),passed,7,0
1225,2025-06-03,6/3/25 City Council Minutes,"To bring the reassessment of development impact fees and the annual adjustments, specifically when decreasing fees with decreasing building construction, to the agenda.",passed,7,0
1224,2025-05-20,5/20/25 City Council Meeting,"To include $41,000 for trail design in the park in the budget resolution.",Not explicitly mentioned,0,0
1224,2025-05-20,5/20/25 City Council Meeting,Council disqualifications for item 2.2 (abandoned barbecues),failed,0,1
1224,2025-05-20,5/20/25 City Council Meeting,"Approve everything else except for 2.5, with a no vote on 2.2",Passed,3,1
1224,2025-05-20,5/20/25 City Council Meeting,Approval of a three-year contract for the ice rink with conditions for cost-sharing and community access.,passed,7,0
1224,2025-05-20,5/20/25 City Council Meeting,to accept and file the report,passed,7,0
1224,2025-05-20,5/20/25 City Council Meeting,"Approve the amendment to regulate who is allowed to fuel on the airport and how they are allowed to fuel, with exceptions in the event of an emergency.",passed,4,0
1224,2025-05-20,5/20/25 City Council Meeting,Council Member Goldstein's request on parklets,Not explicitly mentioned,0,0
1224,2025-05-20,5/20/25 City Council Meeting,"To set aside the rules and bring back the cancer screening program for discussion at the next meeting, potentially for budget consideration.",passed,7,0
1224,2025-05-20,5/20/25 City Council Meeting,To discuss and compare the model ordinance on anti-camping enforcement with the current method of criminalizing camping.,passed,5,2
1223,2025-05-19,5/19/25 Bidwell Park and Playground Commission,Approval of the minutes from the last meeting,passed,5,0
1221,2025-05-06,5/6/25 City Council (Start at 3:00 p.m.),"approve the consent agenda, including item 2.1 ordinance of the city council of the city of Chico approving code amendment 25-01 amending title 19 of the Chico Municipal Code to support residential readiness",passed,0,0
1221,2025-05-06,5/6/25 City Council (Start at 3:00 p.m.),"To approve the resolution declaring weeds, rubbish, refuge, and drug use as a public nuisance, ordering abatement and removal, setting a deadline for abatement, and providing assessment of the cost of the abatement.",passed/failed (result not explicitly mentioned in the segment),0,0
1221,2025-05-06,5/6/25 City Council (Start at 3:00 p.m.),Carry the previous motion or item discussed,passed,7,0
1221,2025-05-06,5/6/25 City Council (Start at 3:00 p.m.),Adoption of an ordinance designed by fire hazard severity zones as determined by the California Department of Forestry and Fire Protection pursuant to Government Section Code 51178.,passed,7,0
1221,2025-05-06,5/6/25 City Council (Start at 3:00 p.m.),Emergency ordinance and introduction of an ordinance regarding outdoor warming appliances with an open flame and barbecues,passed,7,0
1221,2025-05-06,5/6/25 City Council (Start at 3:00 p.m.),To drop the request to honor Jackson Pollock and remove it from any further consideration.,passed,6,1
1221,2025-05-06,5/6/25 City Council (Start at 3:00 p.m.),Council member Winslow's request for safety improvements on West Avenue,passed,7,0
1221,2025-05-06,5/6/25 City Council (Start at 3:00 p.m.),The specific motion or topic being voted on is not mentioned in the provided segment.,passed,7,0
1221,2025-05-06,5/6/25 City Council (Start at 3:00 p.m.),council to agendize,passed,majority,not specified
1220,2025-04-28,4/28/25 Bidwell Park and Playground Commission,Approval of the minutes from the last meeting as part of the consent agenda,Not explicitly mentioned,0,0
1220,2025-04-28,4/28/25 Bidwell Park and Playground Commission,"Approval of a permit to hold a Shakespeare performance in Cedar Grove Meadow from May 24, 2025 to June 15, 2025",Not explicitly mentioned,0,0
1220,2025-04-28,4/28/25 Bidwell Park and Playground Commission,to have a hearing on Commissioner Shayer,passed,6,0
1220,2025-04-28,4/28/25 Bidwell Park and Playground Commission,"approve the staff recommendation with the condition that if management or scope of the event changes significantly, it has to come back to the commission for action",passed,6,0
1220,2025-04-28,4/28/25 Bidwell Park and Playground Commission,"Original motion (details not explicitly stated, but related to a proposal involving parking and park features)",failed,4,2
1220,2025-04-28,4/28/25 Bidwell Park and Playground Commission,Motion to postpone the item until the May 2025 Bidwell Parks and Playground Commission meeting,passed,6,0
1219,2025-04-15,4/15/25 City Council,All matters listed under the consent agenda,passed,7,0
1219,2025-04-15,4/15/25 City Council,Public comment session,Passed,7,0
1219,2025-04-15,4/15/25 City Council,forward a recommendation of approval to the city council on the proposed code amendments,passed,5,0
1219,2025-04-15,4/15/25 City Council,Discussion on parklets downtown informed by a staff report.,passed,6,1
1219,2025-04-15,4/15/25 City Council,Discussion of a study to revitalize the Park Avenue corridor.,passed,7,0
1219,2025-04-15,4/15/25 City Council,"Discuss policy on drive-throughs, including permissible zones.",failed,3,4
1217,2025-04-01,4/1/25 City Council,"To approve the consent agenda as read, including the Ordinance of the City of Chico amending Chapter 1.14 to the City of Chico Municipal Code, adding additional conditions of real property constituting a nuisance related to missing and boarded up.",Passed (implied by the lack of opposition and the process moving forward),0,0
1217,2025-04-01,4/1/25 City Council,Final reading and adoption of the doors and windows ordinance,passed,7,0
1217,2025-04-01,4/1/25 City Council,"Approval of a project related to Code Amendment 24-2, General Plan Amendment 20-01, Rezone 20-01, Architectural Review Hubbard Apartments, Southwest Corner of Ceres and Lassen.",passed,7,0
1217,2025-04-01,4/1/25 City Council,To amend the municipal code to allow ground floor office space in downtown north for a period of one year.,passed,3,0
1217,2025-04-01,4/1/25 City Council,To direct staff to research and create an ordinance modeled on the Fresno Modesto ordinances to create a rental inspection program,Failed,0,0
1217,2025-04-01,4/1/25 City Council,"To enhance the education efforts regarding tenant rights on all city social media platforms, websites, etc., as well as to seek city outreach efforts with community organizations on these issues",Passed,3,0
1217,2025-04-01,4/1/25 City Council,Councilmember Van Overbeck's request for a 20-year plan for Bidwell Park,passed,7,0
1217,2025-04-01,4/1/25 City Council,Unspecified motion (as the specific motion is not detailed in the provided segment),passed,7,0
1217,2025-04-01,4/1/25 City Council,"To discuss the airport overlay zones and housing needs, specifically the B2 overlay, density limitations, and potential changes to the plan.",passed,7,0
1217,2025-04-01,4/1/25 City Council,"To discuss street safety improvements in the Chico High, Chico State area, West Sacramento, and Warner, with a focus on West ABS street safety.",passed,7,0
1216,2025-03-31,3/31/25 Bidwell Park and Playground Commission,Approval of the minutes and the consent agenda,Passed,0,0
1212,2025-03-18,3/18/25 City Council,"Approve the consent agenda with item 2.2 removed, as well as ordinance of the city of Chico amending chapter 9.29 of the city of Chico municipal code prohibiting unauthorized syringe exchange programs and the furnishing of syringes or hypodermic needles within the city except as authorized by state law and establishing reasonable regulations of the same.",passed,4,0
1212,2025-03-18,3/18/25 City Council,"Approve item 2.2, authorizing the chief to move forward with the budget deliberations for the purchase of items.",passed,5,2
1212,2025-03-18,3/18/25 City Council,Unspecified motion (context not provided in the segment),passed,5,2
1212,2025-03-18,3/18/25 City Council,Downtown Chico Property Business Owners Improvement Assessment Increase,Not explicitly mentioned,0,0
1212,2025-03-18,3/18/25 City Council,"To request additional input from staff and possibly the finance committee to review and construct a basis for requesting more tax revenue from Butte County, and to consider forming an ad hoc committee to discuss with county personnel.",Not explicitly mentioned in the segment,0,0
1212,2025-03-18,3/18/25 City Council,Carry the motion,passed,7,0
1212,2025-03-18,3/18/25 City Council,To agendize a discussion on overviewing the ordinance that looks at penalties for property owners who have neglected properties.,Passed,7,0
1211,2025-03-04,3/4/25 City Council,Approval of all matters under the consent agenda,passed,7,0
1211,2025-03-04,3/4/25 City Council,Not specified in the segment,passed,7,0
1211,2025-03-04,3/4/25 City Council,Approve the proposed ordinance amending Chapter 9.29 of the Chico Municipal Code to prohibit syringe exchange programs and the furnishing of syringes except as authorized by state and federal law.,Not explicitly mentioned in the segment,0,0
1211,2025-03-04,3/4/25 City Council,To amend the fee schedule to impose a $200 release fee for the barnacle parking enforcement device for scoff law violations and persistent violators in specific areas.,passed,7,0
1211,2025-03-04,3/4/25 City Council,To allow the Bid Will Park and Playground Commission to put an item on their agenda for them to come up with a 20-year plan of priorities for the park without hiring a consultant.,passed,7,0
1209,2025-02-20,2/20/25 Planning Commission Meeting,Confirming Tony Scott as chair and Maggie Scarpa as vice chair,passed,6,0
1209,2025-02-20,2/20/25 Planning Commission Meeting,Appointment of commissioners to the architectural review and historic preservation board subcommittee,passed,5,0
1209,2025-02-20,2/20/25 Planning Commission Meeting,To approve all matters listed under the consent agenda,passed,6,0
1209,2025-02-20,2/20/25 Planning Commission Meeting,To adopt the resolution approving parcel map 2503 and plan development permit 2401 with the change to the condition with respect to street lights that the street lights be designed to be consistent with the st7 overlay zoning requirements.,Not yet determined (discussion is still ongoing),0,0
1209,2025-02-20,2/20/25 Planning Commission Meeting,To remove the requested omission of the sidewalk and require its installation.,Not yet determined (discussion is still ongoing),0,0
1208,2025-02-18,2/18/25 City Council,Approve the disqualifications and the consent ordinance of the City Council of the City of Chico authorizing the implementation of a community choice aggregation program with Pioneer Energy and amending chapter 15.60 of the Chico Municipal Code.,passed,7,0
1208,2025-02-18,2/18/25 City Council,Unspecified motion (as the exact motion is not mentioned in the segment),passed,7,0
1208,2025-02-18,2/18/25 City Council,To have a discussion on the merits of having Card Lease manage and operate some of the city parks.,passed,7,0
1208,2025-02-18,2/18/25 City Council,To have a discussion on tax sharing agreements between the city and the county.,passed,7,0
1207,2025-02-04,2/4/25 City Council,approve the consent agenda,passed,8,0
1207,2025-02-04,2/4/25 City Council,"To agenda a discussion on ordinances, code changes, and programs beyond enforcement that the city can use as tools for addressing homelessness.",Passed,5,1
1204,2025-01-28,1/28/25 City Council,Approve the consent agenda,passed,4,0
1204,2025-01-28,1/28/25 City Council,Unspecified motion that resulted in a 7-0 vote,passed,7,0
1204,2025-01-28,1/28/25 City Council,to approve the nomination form submitted by all of the four incoming council members,passed,6,0
1204,2025-01-28,1/28/25 City Council,Stormwater Master Plan,passed,7,0
1204,2025-01-28,1/28/25 City Council,"To approve the elimination of the HR Risk Management Director position and replace it with a Deputy Director reporting to the Administrative Services Department, along with a one-time 3% compensation increase for the Administrative Services Director.",passed,5,0
1204,2025-01-28,1/28/25 City Council,Carry the previous motion (likely related to a previous discussion not fully detailed in the provided segment),passed,7,0
1204,2025-01-28,1/28/25 City Council,"To request the city attorney to look at code 2.68.030 and explore the possibility of permanently closing Bidwell Park, Lindo Channel, and Tiger Ponds to people camping, and to waive the rules to bring this back at the next meeting.",passed,7,0
1204,2025-01-28,1/28/25 City Council,"To request the fire chief to provide an update on Chico's readiness for fire and any concerns, and to bring this back at the soonest date possible.",passed,7,0
1204,2025-01-28,1/28/25 City Council,"To discuss street sweeping and leaf pickup programs, and address concerns about leaf piles in bike lanes.",passed,7,0
1203,2025-01-07,1/7/25 City Council,to approve the consent agenda as read,passed,8,0
1203,2025-01-07,1/7/25 City Council,"To approve the mayor's appointments with switching out of council member Van Oberbeck to chair the finance committee, Council Member Goldstein to be the representative for BCAG, and Council Member Holly to be the dedicated representative for Vina GSA.",failed,4,4
1203,2025-01-07,1/7/25 City Council,"To agendize a discussion regarding making the first hour of parking free downtown, with staff to come back with a report on the financial impact.",passed,7,0
1202,2024-12-17,12/17/24 Council Meeting,approve the consent agenda,passed,6,0
1202,2024-12-17,12/17/24 Council Meeting,to approve designating the Enloe House as a landmark,passed,3,0
1202,2024-12-17,12/17/24 Council Meeting,To place further decisions toward photo enforcement of red light violations on hold until the police department is prepared to move forward.,Passed,0,0
1202,2024-12-17,12/17/24 Council Meeting,"Approve the calendar as amended, with the meeting in July set for July 8th instead of July 15th.",passed,3,0
1202,2024-12-17,12/17/24 Council Meeting,"To agendize a discussion on election reforms, including establishing an independent redistricting commission for after the next census, and potentially other election reforms.",passed,4,2
1202,2024-12-17,12/17/24 Council Meeting,"To agendize a council discussion surrounding streetlight master planning, including the prospect of standardizing the implementation, install, and placement of city and PG&E streetlights.",passed,5,1
1198,2024-11-19,11/19/24 City Council,to initiate legal action,passed,7,0
1198,2024-11-19,11/19/24 City Council,to table item 5.5 the allocation of the cannabis funds,passed,0,0
1198,2024-11-19,11/19/24 City Council,To approve all matters listed on the consent agenda.,passed,7,0
1198,2024-11-19,11/19/24 City Council,"consideration and approval of amendments to the fiscal year 24-25, public works engineering, department, salary and staffing tables, including a side letter for a UPEC to make adjustments to the salary schedule for the engineering career ladder progression",passed,7,0
1198,2024-11-19,11/19/24 City Council,Approve the use of funds from the fire victims trust fund for the fuel reduction program and other related expenditures.,passed,6,1
1198,2024-11-19,11/19/24 City Council,To approve the recommendation to direct staff to create an ordinance following the California Massage Therapy Council guidelines for licensing masseuses.,passed,6,1
1198,2024-11-19,11/19/24 City Council,"approve the internal affairs committee recommendation on occupied buildings, tightening the code to specify that window openings need to have windows and doors, and the roof needs to be in good condition",passed,7,0
1198,2024-11-19,11/19/24 City Council,To entertain city staff going out and finding some additional information and seeing what would be involved in establishing the North State Council of Governments.,passed,7,0
1198,2024-11-19,11/19/24 City Council,To include a report and communication item on safe routes to school for children on a subsequent agenda.,passed,7,0
1196,2024-11-05,11/05/24 City Council,"Proclaim November 2024 as Homeless Youth Awareness Month and commend this observance to all citizens of Chico, California.",Not mentioned,0,0
1196,2024-11-05,11/05/24 City Council,"Approval of all matters listed on the consent agenda, including ordinances 2.1 and 2.2 related to alcoholic beverages at City Plaza and closing hours and drug-free zones for city parks, playgrounds, and greenways.",passed,7,1
1194,2024-10-15,10/15/24 City Council,"To implement free parking on Thursday nights from 5 o'clock, starting from Thanksgiving to Christmas, with a two-hour maximum, as an experiment to support downtown businesses during the holiday season.",passed,5,0
1194,2024-10-15,10/15/24 City Council,"approve the consent agenda minus item 2.5, which includes 2.1, an ordinance amending the pre-zoning of properties within the Bellmere Special Planning Area from SBA Special Planning Area to R1 Low Density Residential RZ 24-02, by reading of title only",passed,6,0
1194,2024-10-15,10/15/24 City Council,introduce an ordinance amending chapters 12.18 and 12R04 of the Chico Municipal Code pertaining to alcoholic beverages at City Plaza during private events,passed,5,1
1194,2024-10-15,10/15/24 City Council,certification of chico fire management employees as upac or upme employees,passed,6,0
1194,2024-10-15,10/15/24 City Council,Approval of the Chico Open Board Architecture (COBA) art initiative project,passed,6,0
1194,2024-10-15,10/15/24 City Council,To consider amending city code 19.44.010 paragraph e to allow ground floor offices without a use permit.,passed,6,0
1191,2024-10-01,10/1/24 City Council,all matters listed on the consent agenda,passed,7,0
1188,2024-09-17,9/17/24 City Council,"Approve, including ordinance of City Council City of Chico approving noticing radius corrections to Title 18, Subdivision Ordinance City of Chico.",passed,7,0
1188,2024-09-17,9/17/24 City Council,Accept the recommendation and refer the question to internal affairs to review the current city code regarding blighted buildings and ensure it is specific and transparent enough for code enforcement.,passed,7,0
1188,2024-09-17,9/17/24 City Council,approve the recommendation to refer the discussion of honoring Jackson Pollock to the arts commission,passed,4,0
1188,2024-09-17,9/17/24 City Council,The specific motion is not detailed in the provided segment.,passed,7,0
1185,2024-09-03,9/3/24 City Council,Approve all matters listed on the consent agenda,passed,7,0
1185,2024-09-03,9/3/24 City Council,To agendize a discussion of proposition 36 and potentially support a letter to the primary organization heading up proposition 36.,passed,7,0
1185,2024-09-03,9/3/24 City Council,"The specific motion is not detailed in the provided segment, but it resulted in a vote.",passed,7,0
1180,2024-08-20,8/20/24 City Council,"Ordinance of the City Council of the City of Chico, California, amending Chapter 3.20 of the Chico Municipal Code pertaining to formal contract procedures, final reading, and adoption.",passed,6,0
1180,2024-08-20,8/20/24 City Council,"To deny the appeal and align with the public works director of engineering's recommendation to deny the appeal on the whole, the public works determination.",Not explicitly mentioned in the segment,0,0
1180,2024-08-20,8/20/24 City Council,consideration of the presentation of voting delegates for the 2024 League of California City Annual Conference,passed,6,0
1180,2024-08-20,8/20/24 City Council,Approval of a utility box art program,passed,6,0
1180,2024-08-20,8/20/24 City Council,Council request second main street building danger assessment,passed,6,0
1180,2024-08-20,8/20/24 City Council,"To have a discussion on Chico's policy on homelessness post Warren settlement in particular pallet shelter, anti-camping laws, outreach and engagement and a place of last resort in the event that no adequate shelter options exist.",failed,0,0
1180,2024-08-20,8/20/24 City Council,"Request that the internal affairs committee explore additional rules or ordinances to regulate local massage businesses, including local zoning, business licensing requirements, and health and safety requirements in compliance with California massage therapy council.",passed,6,0
1174,2024-07-18,7/18/24 Planning Commission,"Approval of the minutes of June 6, 2024",passed,4,0
1174,2024-07-18,7/18/24 Planning Commission,Modification of condition number 6 of the existing use permit for the Unitarian Universalist Fellowship Church to allow for daily operating hours extending to 9:30 p.m. and an updated applicant statement with an activity schedule.,Passed,5,0
1174,2024-07-18,7/18/24 Planning Commission,"The Planning Commission adopt resolution number 24-10, determining the project is exempt from further environmental review, pursuant to CEQA section 15162, and approving modification 21-03 to use permit 11-08, subject to the recommended conditions, including the new conditions of approval, which would be the conditions 9, 10, and 11, and adding an additional condition that they do not exceed the 55 hours operating hours per week.",passed,4,2
1174,2024-07-18,7/18/24 Planning Commission,"The planning commission adopt resolution 24-09 determining the project is categorically exempt from environmental review pursuant to California Environmental Quality Act (CEQA) Guidelines Section 15332, and approving use permit application 23-03, and architecture review application 23-12 with staff looking at the canopy rate for Skyway Travel Center.",passed,0,0
1174,2024-07-18,7/18/24 Planning Commission,"The Planning Commission adopt resolution number 24-11, recommending that the city council determine the project is categorically exempt from further environmental review, reserved to CEQA 15061B3, and adopt the amendments to Title 18, Subdivision Ordinance of the Chico Municipal Code.",passed,6,0
1172,2024-07-16,7/16/24 City Council,"Approve the lease agreement for the Chico Arts Center at the train depot, subject to a 30-day termination clause available to either party.",Passed,3,0
1168,2024-06-18,6/18/24 City Council,"Ordinance of the City Council of the City of Chico approving Code Amendment 24-01, amending Title 19 of the Chico Municipal Code to support residential readiness, and Ordinance of the City Council of the City of Chico approving Rezone 24-01, Chico Nut Company.",passed,5,0
1168,2024-06-18,6/18/24 City Council,Unspecified motion (context not provided in the segment),passed,6,0
1168,2024-06-18,6/18/24 City Council,Adopt a resolution to initiate the application process for the pro housing designation program.,passed,6,0
